text,category,sentiment
徐家汇站有异味，环境太差，影响通勤体验,Cleanliness,negative
Zhongshan Park elevator is broken and not accessible，影响通勤体验,Accessibility,negative
Zhenping Rd was not crowded today today,Crowding,positive
South Shanghai Railway feels safe and well managed today,Safety,positive
东方体育中心站早高峰太挤了 today,Crowding,negative
陕西南路站有异味，环境太差 today,Cleanliness,negative
上海火车站站今天客流正常,Other,neutral
南京西路站人流组织不好，存在安全问题 today,Safety,negative
虹桥火车站站有异味，环境太差，请尽快处理,Cleanliness,negative
老西门站电梯坏了，很不方便 for commuters,Accessibility,negative
莘庄站施工声音太吵 during rush hour,Noise,negative
上海南站站今天晚点太严重了 for commuters,Delay,negative
中山公园站电梯坏了，很不方便 for commuters,Accessibility,negative
Jiangsu Rd is clean and comfortable for commuters,Cleanliness,positive
陕西南路站地面有垃圾，卫生不好 for commuters,Cleanliness,negative
Nanjing W. Rd has convenient accessibility,Accessibility,positive
老西门站秩序很好，很安全 for commuters,Safety,positive
镇坪路站今天很安静,Noise,positive
Jing'an Temple had a serious delay this morning for commuters,Delay,negative
Oriental Sports Ctr has normal passenger flow today，请尽快处理,Other,neutral
Xujiahui is packed during rush hour during rush hour,Crowding,negative
Xujiahui elevator is broken and not accessible for commuters,Accessibility,negative
南京东路站人流组织不好，存在安全问题,Safety,negative
中山公园站今天人流顺畅，请尽快处理,Crowding,positive
Hailun Rd is clean and comfortable，请尽快处理,Cleanliness,positive
莘庄站电梯坏了，很不方便 during rush hour,Accessibility,negative
Century Avenue was on time today for commuters,Delay,positive
上海南站站有一些乘客排队 for commuters,Other,neutral
服务记录已更新,Other,neutral
海伦路站无障碍通道不好找 today,Accessibility,negative
Nanjing Rd (E) feels dirty today today,Cleanliness,negative
Nanjing W. Rd has convenient accessibility today,Accessibility,positive
Hanzhong Rd is too noisy today for commuters,Noise,negative
南京西路站广播太响，噪音很大，请尽快处理,Noise,negative
南京东路站有异味，环境太差 for commuters,Cleanliness,negative
南京西路站早高峰太挤了 today,Crowding,negative
Hanzhong Rd had a serious delay this morning for commuters,Delay,negative
Yishan Rd had a serious delay this morning，请尽快处理,Delay,negative
陆家嘴站有一些乘客排队，请尽快处理,Other,neutral
常熟路站很干净 during rush hour,Cleanliness,positive
Lujiazui elevator is broken and not accessible for commuters,Accessibility,negative
世纪大道站人多到挤不上车，请尽快处理,Crowding,negative
海伦路站有一些乘客排队 today,Other,neutral
南京东路站扶梯口推搡很危险 for commuters,Safety,negative
江苏路站等了很久还是没有车,Delay,negative
Xujiahui had a serious delay this morning during rush hour,Delay,negative
南京西路站人多到挤不上车 during rush hour,Crowding,negative
镇坪路站今天很准时 for commuters,Delay,positive
大世界站今天很安静 for commuters,Noise,positive
人民广场站秩序很好，很安全,Safety,positive
镇坪路站施工声音太吵，影响通勤体验,Noise,negative
虹桥火车站站早高峰太挤了 today,Crowding,negative
Hongqiao Railway Stn elevator is broken and not accessible，影响通勤体验,Accessibility,negative
Laoximen was not crowded today,Crowding,positive
虹口足球场站很干净 today,Cleanliness,positive
海伦路站今天客流正常 for commuters,Other,neutral
世纪大道站秩序很好，很安全，请尽快处理,Safety,positive
Caoyang Rd was quiet today today,Noise,positive
南京西路站等了很久还是没有车 for commuters,Delay,negative
陆家嘴站人流组织不好，存在安全问题 today,Safety,negative
Jiangsu Rd is too noisy today,Noise,negative
上海南站站人流组织不好，存在安全问题 today,Safety,negative
Nanjing W. Rd was on time today，影响通勤体验,Delay,positive
曹杨路站人多到挤不上车,Crowding,negative
陆家嘴站今天人流顺畅 for commuters,Crowding,positive
Shanghai Railway Stn feels unsafe at the platform，请尽快处理,Safety,negative
Yishan Rd feels safe and well managed during rush hour,Safety,positive
镇坪路站今天很安静,Noise,positive
Hanzhong Rd has normal passenger flow today during rush hour,Other,neutral
人民广场站今天晚点太严重了 for commuters,Delay,negative
Zhenping Rd feels dirty today，请尽快处理,Cleanliness,negative
服务记录已更新,Other,neutral
汉中路站秩序很好，很安全 for commuters,Safety,positive
老西门站电梯方便，无障碍体验很好 today,Accessibility,positive
South Shanghai Railway was on time today today,Delay,positive
Hanzhong Rd elevator is broken and not accessible,Accessibility,negative
Siping Rd elevator is broken and not accessible for commuters,Accessibility,negative
Zhenping Rd was on time today，影响通勤体验,Delay,positive
镇坪路站早高峰太挤了，请尽快处理,Crowding,negative
海伦路站今天客流正常，影响通勤体验,Other,neutral
龙阳路站扶梯口推搡很危险 for commuters,Safety,negative
南京西路站施工声音太吵 today,Noise,negative
Hailun Rd feels safe and well managed today,Safety,positive
四平路站电梯方便，无障碍体验很好，影响通勤体验,Accessibility,positive
虹口足球场站人流组织不好，存在安全问题 during rush hour,Safety,negative
Hanzhong Rd was not crowded today,Crowding,positive
Yishan Rd had a serious delay this morning，请尽快处理,Delay,negative
Zhongshan Park feels unsafe at the platform during rush hour,Safety,negative
Lujiazui feels safe and well managed for commuters,Safety,positive
四平路站无障碍通道不好找 during rush hour,Accessibility,negative
Caoyang Rd is packed during rush hour for commuters,Crowding,negative
海伦路站今天晚点太严重了 during rush hour,Delay,negative
四平路站今天很安静，请尽快处理,Noise,positive
海伦路站广播太响，噪音很大,Noise,negative
Longyang Road elevator is broken and not accessible during rush hour,Accessibility,negative
东方体育中心站电梯坏了，很不方便 for commuters,Accessibility,negative
老西门站今天人流顺畅，请尽快处理,Crowding,positive
常熟路站今天很安静 during rush hour,Noise,positive
南京东路站扶梯口推搡很危险 during rush hour,Safety,negative
Jiangsu Rd is packed during rush hour，影响通勤体验,Crowding,negative
四平路站有异味，环境太差 during rush hour,Cleanliness,negative
陕西南路站很干净，影响通勤体验,Cleanliness,positive
Xujiahui was not crowded today，请尽快处理,Crowding,positive
Xujiahui has convenient accessibility today,Accessibility,positive
上海南站站很干净，请尽快处理,Cleanliness,positive
豫园站地面有垃圾，卫生不好 for commuters,Cleanliness,negative
Nanjing Rd (E) has convenient accessibility today,Accessibility,positive
Yu Garden was not crowded today for commuters,Crowding,positive
Hongqiao Railway Stn has normal passenger flow today，影响通勤体验,Other,neutral
Xinzhuang had a serious delay this morning today,Delay,negative
Pudong Intl Airport was on time today today,Delay,positive
龙阳路站人多到挤不上车，请尽快处理,Crowding,negative
莘庄站扶梯口推搡很危险,Safety,negative
曹杨路站今天很准时,Delay,positive
Yishan Rd is too noisy today today,Noise,negative
大世界站今天很准时,Delay,positive
龙阳路站秩序很好，很安全 for commuters,Safety,positive
Oriental Sports Ctr is packed during rush hour,Crowding,negative
宜山路站很干净 for commuters,Cleanliness,positive
徐家汇站电梯坏了，很不方便 today,Accessibility,negative
Hailun Rd elevator is broken and not accessible,Accessibility,negative
Siping Rd was not crowded today today,Crowding,positive
陆家嘴站今天很准时 for commuters,Delay,positive
静安寺站等了很久还是没有车，影响通勤体验,Delay,negative
莘庄站电梯方便，无障碍体验很好,Accessibility,positive
中山公园站无障碍通道不好找 for commuters,Accessibility,negative
Jiangsu Rd is clean and comfortable today,Cleanliness,positive
南京东路站扶梯口推搡很危险，请尽快处理,Safety,negative
浦东机场站今天人流顺畅，请尽快处理,Crowding,positive
陕西南路站等了很久还是没有车 during rush hour,Delay,negative
Jing'an Temple elevator is broken and not accessible during rush hour,Accessibility,negative
东方体育中心站扶梯口推搡很危险 today,Safety,negative
Siping Rd was on time today，影响通勤体验,Delay,positive
徐家汇站早高峰太挤了,Crowding,negative
镇坪路站广播太响，噪音很大，影响通勤体验,Noise,negative
莘庄站扶梯口推搡很危险，影响通勤体验,Safety,negative
静安寺站广播太响，噪音很大 today,Noise,negative
徐家汇站人流组织不好，存在安全问题 for commuters,Safety,negative
上海火车站站今天晚点太严重了 during rush hour,Delay,negative
人民广场站今天晚点太严重了 during rush hour,Delay,negative
汉中路站今天人流顺畅 during rush hour,Crowding,positive
莘庄站人流组织不好，存在安全问题 for commuters,Safety,negative
Xinzhuang is packed during rush hour today,Crowding,negative
曹杨路站人多到挤不上车，请尽快处理,Crowding,negative
Shanghai Railway Stn is packed during rush hour，请尽快处理,Crowding,negative
镇坪路站扶梯口推搡很危险,Safety,negative
Siping Rd is too noisy today，影响通勤体验,Noise,negative
虹口足球场站有异味，环境太差 today,Cleanliness,negative
江苏路站秩序很好，很安全，请尽快处理,Safety,positive
陆家嘴站电梯坏了，很不方便 today,Accessibility,negative
Jing'an Temple was not crowded today，影响通勤体验,Crowding,positive
龙阳路站等了很久还是没有车 for commuters,Delay,negative
浦东机场站电梯方便，无障碍体验很好 during rush hour,Accessibility,positive
豫园站今天很准时 for commuters,Delay,positive
宜山路站广播太响，噪音很大 for commuters,Noise,negative
南京东路站电梯方便，无障碍体验很好 for commuters,Accessibility,positive
Oriental Sports Ctr is clean and comfortable for commuters,Cleanliness,positive
Yishan Rd elevator is broken and not accessible during rush hour,Accessibility,negative
Xinzhuang was quiet today，请尽快处理,Noise,positive
镇坪路站有异味，环境太差 during rush hour,Cleanliness,negative
Pudong Intl Airport was quiet today for commuters,Noise,positive
汉中路站地面有垃圾，卫生不好 during rush hour,Cleanliness,negative
汉中路站扶梯口推搡很危险 today,Safety,negative
People's Square is too noisy today for commuters,Noise,negative
莘庄站早高峰太挤了 during rush hour,Crowding,negative
Longyang Road is packed during rush hour，请尽快处理,Crowding,negative
莘庄站广播太响，噪音很大，影响通勤体验,Noise,negative
豫园站广播太响，噪音很大，影响通勤体验,Noise,negative
Yu Garden was quiet today today,Noise,positive
人民广场站电梯坏了，很不方便，请尽快处理,Accessibility,negative
陆家嘴站无障碍通道不好找 during rush hour,Accessibility,negative
Yu Garden elevator is broken and not accessible today,Accessibility,negative
上海南站站广播太响，噪音很大 during rush hour,Noise,negative
常熟路站电梯坏了，很不方便,Accessibility,negative
虹口足球场站今天很准时 during rush hour,Delay,positive
常熟路站今天晚点太严重了 during rush hour,Delay,negative
常熟路站扶梯口推搡很危险,Safety,negative
上海南站站人多到挤不上车 today,Crowding,negative
龙阳路站今天人流顺畅 today,Crowding,positive
豫园站广播太响，噪音很大 today,Noise,negative
人民广场站今天人流顺畅 today,Crowding,positive
老西门站今天很安静 for commuters,Noise,positive
人民广场站地面有垃圾，卫生不好，请尽快处理,Cleanliness,negative
Zhongshan Park was not crowded today，影响通勤体验,Crowding,positive
Hongkou Stadium has convenient accessibility，请尽快处理,Accessibility,positive
老西门站人流组织不好，存在安全问题 today,Safety,negative
大世界站今天很安静,Noise,positive
宜山路站电梯方便，无障碍体验很好 for commuters,Accessibility,positive
汉中路站人多到挤不上车 today,Crowding,negative
Nanjing W. Rd is clean and comfortable today,Cleanliness,positive
徐家汇站今天晚点太严重了，影响通勤体验,Delay,negative
Hongqiao Railway Stn feels safe and well managed,Safety,positive
东方体育中心站有一些乘客排队，影响通勤体验,Other,neutral
上海南站站等了很久还是没有车，影响通勤体验,Delay,negative
大世界站施工声音太吵,Noise,negative
Hongqiao Railway Stn feels unsafe at the platform for commuters,Safety,negative
龙阳路站很干净 today,Cleanliness,positive
Shanghai Railway Stn had a serious delay this morning today,Delay,negative
Shaanxi S. Rd was on time today today,Delay,positive
东方体育中心站今天很准时 today,Delay,positive
Jing'an Temple feels unsafe at the platform,Safety,negative
中山公园站有异味，环境太差，请尽快处理,Cleanliness,negative
Yishan Rd feels unsafe at the platform,Safety,negative
南京西路站有异味，环境太差 today,Cleanliness,negative
东方体育中心站很干净，请尽快处理,Cleanliness,positive
汉中路站地面有垃圾，卫生不好 for commuters,Cleanliness,negative
Longyang Road is packed during rush hour，影响通勤体验,Crowding,negative
中山公园站地面有垃圾，卫生不好 today,Cleanliness,negative
Xinzhuang was quiet today，请尽快处理,Noise,positive
中山公园站施工声音太吵，影响通勤体验,Noise,negative
常熟路站今天人流顺畅，影响通勤体验,Crowding,positive
陆家嘴站今天人流顺畅 for commuters,Crowding,positive
Jing'an Temple was quiet today today,Noise,positive
Hailun Rd is packed during rush hour，请尽快处理,Crowding,negative
Xinzhuang has convenient accessibility,Accessibility,positive
常熟路站等了很久还是没有车 for commuters,Delay,negative
Caoyang Rd was on time today for commuters,Delay,positive
Hailun Rd feels dirty today，请尽快处理,Cleanliness,negative
中山公园站今天人流顺畅 today,Crowding,positive
虹桥火车站站今天很安静，影响通勤体验,Noise,positive
Zhenping Rd has convenient accessibility during rush hour,Accessibility,positive
Pudong Intl Airport is too noisy today，请尽快处理,Noise,negative
陆家嘴站今天很安静 during rush hour,Noise,positive
Xinzhuang elevator is broken and not accessible，影响通勤体验,Accessibility,negative
四平路站扶梯口推搡很危险,Safety,negative
虹口足球场站电梯坏了，很不方便 today,Accessibility,negative
莘庄站很干净，请尽快处理,Cleanliness,positive
世纪大道站人多到挤不上车,Crowding,negative
Shaanxi S. Rd feels unsafe at the platform during rush hour,Safety,negative
Longyang Road feels safe and well managed during rush hour,Safety,positive
宜山路站今天很安静,Noise,positive
人民广场站地面有垃圾，卫生不好，请尽快处理,Cleanliness,negative
上海南站站电梯方便，无障碍体验很好，请尽快处理,Accessibility,positive
浦东机场站地面有垃圾，卫生不好,Cleanliness,negative
上海南站站地面有垃圾，卫生不好，影响通勤体验,Cleanliness,negative
Lujiazui is clean and comfortable,Cleanliness,positive
Xujiahui feels unsafe at the platform during rush hour,Safety,negative
上海南站站电梯坏了，很不方便,Accessibility,negative
静安寺站今天晚点太严重了 for commuters,Delay,negative
Hailun Rd has convenient accessibility,Accessibility,positive
虹桥火车站站今天人流顺畅 today,Crowding,positive
Hailun Rd was quiet today,Noise,positive
中山公园站早高峰太挤了 during rush hour,Crowding,negative
曹杨路站早高峰太挤了 for commuters,Crowding,negative
东方体育中心站有一些乘客排队，影响通勤体验,Other,neutral
Yishan Rd feels safe and well managed，请尽快处理,Safety,positive
Nanjing W. Rd is too noisy today，请尽快处理,Noise,negative
Changshu Rd was on time today，影响通勤体验,Delay,positive
Nanjing Rd (E) elevator is broken and not accessible,Accessibility,negative
Jiangsu Rd elevator is broken and not accessible for commuters,Accessibility,negative
南京西路站电梯方便，无障碍体验很好，请尽快处理,Accessibility,positive
人民广场站秩序很好，很安全 today,Safety,positive
豫园站今天很安静,Noise,positive
世纪大道站扶梯口推搡很危险 during rush hour,Safety,negative
老西门站早高峰太挤了 during rush hour,Crowding,negative
海伦路站施工声音太吵 for commuters,Noise,negative
汉中路站施工声音太吵 for commuters,Noise,negative
上海火车站站秩序很好，很安全，请尽快处理,Safety,positive
东方体育中心站今天很安静，影响通勤体验,Noise,positive
Hongkou Stadium has convenient accessibility,Accessibility,positive
Lujiazui has convenient accessibility today,Accessibility,positive
曹杨路站有一些乘客排队 during rush hour,Other,neutral
人民广场站扶梯口推搡很危险 today,Safety,negative
Hongqiao Railway Stn has convenient accessibility for commuters,Accessibility,positive
Yu Garden feels safe and well managed for commuters,Safety,positive
Hailun Rd was quiet today during rush hour,Noise,positive
汉中路站人多到挤不上车，请尽快处理,Crowding,negative
江苏路站电梯方便，无障碍体验很好 today,Accessibility,positive
南京西路站有一些乘客排队 during rush hour,Other,neutral
陕西南路站今天很安静 for commuters,Noise,positive
People's Square has normal passenger flow today during rush hour,Other,neutral
虹口足球场站早高峰太挤了，影响通勤体验,Crowding,negative
Laoximen feels safe and well managed,Safety,positive
东方体育中心站电梯方便，无障碍体验很好，请尽快处理,Accessibility,positive
Hailun Rd had a serious delay this morning,Delay,negative
Shanghai Railway Stn has convenient accessibility during rush hour,Accessibility,positive
Hailun Rd was quiet today,Noise,positive
虹口足球场站今天晚点太严重了，影响通勤体验,Delay,negative
世纪大道站人多到挤不上车 during rush hour,Crowding,negative
陕西南路站施工声音太吵，请尽快处理,Noise,negative
陆家嘴站秩序很好，很安全,Safety,positive
海伦路站很干净，请尽快处理,Cleanliness,positive
江苏路站今天晚点太严重了 for commuters,Delay,negative
人民广场站电梯方便，无障碍体验很好 today,Accessibility,positive
Jing'an Temple has convenient accessibility today,Accessibility,positive
Lujiazui feels dirty today during rush hour,Cleanliness,negative
东方体育中心站今天晚点太严重了 for commuters,Delay,negative
Hongqiao Railway Stn has normal passenger flow today,Other,neutral
Zhenping Rd is too noisy today today,Noise,negative
海伦路站秩序很好，很安全,Safety,positive
宜山路站有异味，环境太差,Cleanliness,negative
宜山路站人多到挤不上车 during rush hour,Crowding,negative
静安寺站早高峰太挤了，影响通勤体验,Crowding,negative
江苏路站人流组织不好，存在安全问题 today,Safety,negative
莘庄站今天很准时,Delay,positive
莘庄站施工声音太吵 for commuters,Noise,negative
上海南站站无障碍通道不好找，影响通勤体验,Accessibility,negative
Oriental Sports Ctr had a serious delay this morning for commuters,Delay,negative
Siping Rd feels dirty today during rush hour,Cleanliness,negative
汉中路站无障碍通道不好找 today,Accessibility,negative
Oriental Sports Ctr was quiet today today,Noise,positive
东方体育中心站人多到挤不上车,Crowding,negative
陕西南路站无障碍通道不好找 today,Accessibility,negative
常熟路站今天人流顺畅,Crowding,positive
东方体育中心站人多到挤不上车 during rush hour,Crowding,negative
上海火车站站人流组织不好，存在安全问题，影响通勤体验,Safety,negative
东方体育中心站地面有垃圾，卫生不好 during rush hour,Cleanliness,negative
陕西南路站扶梯口推搡很危险 during rush hour,Safety,negative
Lujiazui was not crowded today during rush hour,Crowding,positive
Longyang Road has convenient accessibility,Accessibility,positive
Hailun Rd feels unsafe at the platform,Safety,negative
Shaanxi S. Rd feels unsafe at the platform,Safety,negative
人民广场站今天很准时 for commuters,Delay,positive
曹杨路站电梯方便，无障碍体验很好，请尽快处理,Accessibility,positive
中山公园站人流组织不好，存在安全问题，请尽快处理,Safety,negative
Xujiahui is clean and comfortable for commuters,Cleanliness,positive
虹口足球场站人多到挤不上车 today,Crowding,negative
Xujiahui feels unsafe at the platform today,Safety,negative
世纪大道站扶梯口推搡很危险 today,Safety,negative
上海南站站扶梯口推搡很危险，影响通勤体验,Safety,negative
宜山路站今天晚点太严重了，请尽快处理,Delay,negative
莘庄站广播太响，噪音很大 today,Noise,negative
陆家嘴站等了很久还是没有车,Delay,negative
Shanghai Railway Stn had a serious delay this morning，请尽快处理,Delay,negative
Jing'an Temple is clean and comfortable，请尽快处理,Cleanliness,positive
Yu Garden is packed during rush hour during rush hour,Crowding,negative
虹桥火车站站秩序很好，很安全 for commuters,Safety,positive
南京东路站电梯坏了，很不方便，请尽快处理,Accessibility,negative
Shanghai Railway Stn elevator is broken and not accessible during rush hour,Accessibility,negative
上海南站站地面有垃圾，卫生不好,Cleanliness,negative
Nanjing Rd (E) feels safe and well managed,Safety,positive
汉中路站人多到挤不上车 during rush hour,Crowding,negative
龙阳路站秩序很好，很安全 during rush hour,Safety,positive
静安寺站今天客流正常,Other,neutral
龙阳路站人流组织不好，存在安全问题 for commuters,Safety,negative
上海南站站无障碍通道不好找 today,Accessibility,negative
浦东机场站电梯方便，无障碍体验很好 for commuters,Accessibility,positive
汉中路站很干净,Cleanliness,positive
Laoximen had a serious delay this morning，请尽快处理,Delay,negative
Shaanxi S. Rd elevator is broken and not accessible，请尽快处理,Accessibility,negative
静安寺站很干净 for commuters,Cleanliness,positive
Hanzhong Rd is packed during rush hour during rush hour,Crowding,negative
四平路站无障碍通道不好找 for commuters,Accessibility,negative
中山公园站秩序很好，很安全，影响通勤体验,Safety,positive
汉中路站今天客流正常 today,Other,neutral
Jiangsu Rd had a serious delay this morning for commuters,Delay,negative
南京西路站早高峰太挤了 for commuters,Crowding,negative
海伦路站电梯方便，无障碍体验很好，请尽快处理,Accessibility,positive
四平路站今天人流顺畅，请尽快处理,Crowding,positive
世纪大道站施工声音太吵,Noise,negative
Zhongshan Park was quiet today，请尽快处理,Noise,positive
South Shanghai Railway was quiet today,Noise,positive
常熟路站今天人流顺畅 for commuters,Crowding,positive
大世界站无障碍通道不好找，影响通勤体验,Accessibility,negative
大世界站人多到挤不上车，请尽快处理,Crowding,negative
Xujiahui feels safe and well managed,Safety,positive
静安寺站早高峰太挤了 for commuters,Crowding,negative
镇坪路站今天客流正常，影响通勤体验,Other,neutral
中山公园站今天晚点太严重了 during rush hour,Delay,negative
陆家嘴站电梯坏了，很不方便，影响通勤体验,Accessibility,negative
曹杨路站今天很安静 today,Noise,positive
海伦路站广播太响，噪音很大,Noise,negative
上海火车站站地面有垃圾，卫生不好 during rush hour,Cleanliness,negative
陆家嘴站电梯坏了，很不方便，影响通勤体验,Accessibility,negative
Laoximen has convenient accessibility for commuters,Accessibility,positive
汉中路站电梯坏了，很不方便，影响通勤体验,Accessibility,negative
虹口足球场站有一些乘客排队，影响通勤体验,Other,neutral
老西门站电梯坏了，很不方便，请尽快处理,Accessibility,negative
汉中路站很干净，影响通勤体验,Cleanliness,positive
浦东机场站人多到挤不上车 today,Crowding,negative
南京西路站今天很准时 for commuters,Delay,positive
徐家汇站电梯方便，无障碍体验很好 for commuters,Accessibility,positive
Oriental Sports Ctr feels safe and well managed,Safety,positive
South Shanghai Railway had a serious delay this morning，影响通勤体验,Delay,negative
Hongkou Stadium was on time today for commuters,Delay,positive
虹桥火车站站等了很久还是没有车，请尽快处理,Delay,negative
Century Avenue feels safe and well managed during rush hour,Safety,positive
静安寺站今天客流正常 today,Other,neutral
Hanzhong Rd feels unsafe at the platform today,Safety,negative
Hongkou Stadium was not crowded today，影响通勤体验,Crowding,positive
浦东机场站无障碍通道不好找，影响通勤体验,Accessibility,negative
Hongqiao Railway Stn has convenient accessibility，影响通勤体验,Accessibility,positive
